行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
汽车制造业,河北省,6,,1,,,,,5,,2,2,,2,2,,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,408151527629.75,68025254604.9583,185357386198.04,1018412145,17407180342,17689972911,2948328819,8252805727,20412623,553502466.1,197365,32894.1666666667,87399,817,10405,3.13858E+11,52309612594,137339910224.78,517017731.2,19030176426.795,50.4,64.94,16.4,58.745,25695098728,4282516455,12180766754,21129949,644146759.6,2.84833333333333,14.66,-11.64,3.295,17287157828,2881192971,7967006709,31407731,629690022.3,1.40166666666667,25.08,-35.16,0.465,2.51333333333333,22.77,-44.1,8.33,18.1066666666667,34.32,-15.36,20.405,5.47,8.88,3.15,4.195,0.87,2.23,-0.17,0.425,15233889436,7616944718,7616945082,7616944354,7616944718,-13.43333333,31.39,-103,31.31,51387,8564.5,23882,37,1764.5,13.8083333333333,26.6,4.82,12.86,8.915,15.89,0.24,10.54,2857765708,476294284.7,1814566294,4691062.98,89460344.49,2704.04,450.673333333333,1743,9.04,111,40353,8070.6,18485,98,1771,823,205.75,411,1,205.5,4827,965.4,2309,3,111,2418,483.6,1077,1,192,0,0,0,0,0,8289,1657.8,3975,29,179,210,105,108,102,105,2352,470.4,1142,9,33,214,107,107,107,107,6525,1305,3069,17,236,823,164.6,396,1,20,17.44,27.3,4.57,16.915,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61483E+11,43580533834.5167,1.20141E+11,167503544.3,10206760418.215,57422,11484.4,26626,29,2099,0,0,0,0,0,12107,2421.4,5672,17,399,832,208,416,1,207.5,37,12.3333333333333,31,1,5,0,0,0,0,0
金属冶炼和压延加工业,河北省,1,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,253231002524.32,253231002524.32,253231002524.32,253231002524.32,253231002524.32,1579840775,1579840775,1579840775,1579840775,1579840775,27501,27501,27501,27501,27501,143470172729.39,143470172729.39,143470172729.39,143470172729.39,143470172729.39,73.7,73.7,73.7,73.7,3062942710,3062942710,3062942710,3062942710,3062942710,-4.17,-4.17,-4.17,-4.17,916785244.6,916785244.6,916785244.6,916785244.6,916785244.6,-71.99,-71.99,-71.99,-71.99,-47.37,-47.37,-47.37,-47.37,-17.25,-17.25,-17.25,-17.25,2.18,2.18,2.18,2.18,-0.36,-0.36,-0.36,-0.36,0,0,0,0,0,0,0,0,0,651,651,651,651,651,37.33,37.33,37.33,37.33,-17.57,-17.57,-17.57,-17.57,66390356.83,66390356.83,66390356.83,66390356.83,66390356.83,230,230,230,230,230,5889,5889,5889,5889,5889,6,6,6,6,6,793,793,793,793,793,891,891,891,891,891,0,0,0,0,0,612,612,612,612,612,0,0,0,0,0,326,326,326,326,326,0,0,0,0,0,539,539,539,539,539,159,159,159,159,159,2.39,2.39,2.39,2.39,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86774E+11,1.86774E+11,1.86774E+11,1.86774E+11,1.86774E+11,10833,10833,10833,10833,10833,0,0,0,0,0,2471,2471,2471,2471,2471,6,6,6,6,6,8,8,8,8,8,3,3,3,3,3
交通运输、仓储和邮政业,河北省,4,,,,,3,,1,,,2,,2,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,80535216661,20133804165.1525,27940688258,1318969195,25637779603.695,4592625594,1148156398.4225,1810572295,67923678,1357064811,25414,6353.5,10561,757,7048,19792233056,4948058264,6919426977,333432912,6269686583,30.4325,40.27,11.98,34.74,331875753.6,110625251.206667,143999330.3,43880779.08,143995644.3,-0.9875,4.95,-7.46,-0.72,5657213874,1414303469,2211697088,116383348,1664566719,14.3825,30.24,-13.94,20.615,10.925,36.1,-15.83,11.715,104.17,169.27,-21.04,164.28,1.62333333333333,2.09,0.72,2.06,0.806666666666667,1.29,-0.15,1.28,0,0,0,0,0,0,0,0,0,407,135.666666666667,319,44,44,25.37,25.77,24.58,25.76,-3.105,-1.16,-4.4,-3.43,243788635.1,60947158.77,83739716.22,3761888,78143515.44,483,120.75,200,41,121,526,175.333333333333,302,111,113,0,0,0,0,0,51,17,19,16,16,29,9.66666666666667,11,7,11,0,0,0,0,0,64,21.3333333333333,34,15,15,0,0,0,0,0,19,6.33333333333333,7,5,7,0,0,0,0,0,74,24.6666666666667,48,13,13,7,2.33333333333333,5,1,1,3.25333333333333,8.86,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22759085256,5689771314,9715626000,530380567,6256539345,983,327.666666666667,349,315,319,0,0,0,0,0,117,39,41,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
消费电子及电气业,河北省,2,,1,,,,,1,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,62936922096,31468461048.135,58595170080,4341752017,31468461048.135,-1267447052,-633723526.1,527762025.7,-1795209078,-633723526.1,3974,1987,3489,485,1987,8404446753,4202223376,5892594544,2511852208,4202223376,46.36,59.69,33.03,46.36,480244452.1,240122226.1,305290769.5,174953682.6,240122226.1,73.17,141.73,4.61,73.17,-1298302892,-649151446,555431390.8,-1853734283,-649151446,189.245,340.09,38.4,189.245,187.05,336.84,37.26,187.05,50.135,112.4,-12.13,50.135,7.565,12.14,2.99,7.565,-1.115,-0.53,-1.7,-1.115,74853296.86,74853296.86,74853296.86,74853296.86,74853296.86,104.58,104.58,104.58,104.58,738,369,559,179,369,-4.53,11.16,-20.22,-4.53,0.235,6.8,-6.33,0.235,131983760.2,65991880.09,111953727.4,20030032.77,65991880.09,371,185.5,277,94,185.5,4767,2383.5,4622,145,2383.5,27,13.5,26,1,13.5,551,275.5,538,13,275.5,461,230.5,457,4,230.5,0,0,0,0,0,329,164.5,297,32,164.5,0,0,0,0,0,73,36.5,51,22,36.5,0,0,0,0,0,624,312,596,28,312,96,48,92,4,48,25.36,34.92,15.8,25.36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36399450876,18199725437.775,34962863283,1436587592,18199725437.775,7296,3648,7138,158,3648,0,0,0,0,0,1480,740,1422,58,740,27,13.5,26,1,13.5,3,1.5,2,1,1.5,0,0,0,0,0
房地产业,河北省,4,,,,,,1,3,,1,2,,1,1,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,663804806007.43,165951201501.857,408602674420.12,1682408517,126759861535.155,-17129274114,-4282318529,1064978412,-18436420014,121083743.9,35806,8951.5,15980,29,9898.5,65700600360,16425150090.0325,31941771484,54168161,16852330357.405,64.375,94.06,25.8,68.82,11532060.81,11532060.81,11532060.81,11532060.81,11532060.81,-24.855,-17.63,-32.7,-24.545,-10519546014,-2629886503,6719493018,-17598615303,179788135.8,-72.9225,117,-332.5,-38.095,-71.0075,107.63,-267.52,-62.07,-4.23,-4.23,-4.23,-4.23,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,50,50,50,50,50,-21.81,-21.81,-21.81,-21.81,-24.83,-15.17,-40.81,-21.67,111587369.4,37195789.8033333,86999306.92,5609021.19,18979041.3,160.58,40.145,86,1,36.79,109,36.3333333333333,80,1,28,0,0,0,0,0,2,1,1,1,1,3,1.5,2,1,1.5,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,8,8,8,8,8,1,1,1,1,1,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611102453381.54,152775613345.385,384266200452.46,434652567,113200800181.04,86,43,48,38,43,0,0,0,0,0,5,2.5,4,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
采矿业,河北省,2,,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,66926625468,33463312734,51486456814,15440168653,33463312734,6187765013,3093882506,5220502260,967262753.2,3093882506,45490,22745,41411,4079,22745,41089482002,20544741000.925,36036375176,5053106826,20544741000.925,37.105,51.51,22.7,37.105,759461367.9,759461367.9,759461367.9,759461367.9,759461367.9,-4.235,14.6,-23.07,-4.235,8537375515,4268687757,7235313666,1302061849,4268687757,-1.36,50.85,-53.57,-1.36,-1.75,48.63,-52.13,-1.75,130.4,130.4,130.4,130.4,2.12,2.12,2.12,2.12,1.06,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,2568,2568,2568,2568,2568,25.8,25.8,25.8,25.8,2.175,2.65,1.7,2.175,129295727.2,64647863.58,129214156,81571.2,64647863.58,309,154.5,221,88,154.5,166,83,120,46,83,1,1,1,1,1,6,6,6,6,6,6,3,3,3,3,0,0,0,0,0,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,3,3,3,3,3,6.14,6.14,6.14,6.14,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30068712748,15034356374.065,26554648854,3514063894,15034356374.065,272,136,183,89,136,0,0,0,0,0,15,7.5,12,3,7.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
非金属矿物制品业,河北省,2,,,,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,68000199808,34000099904,62018996296,5981203513,34000099904,1529040199,764520099.5,1406874222,122165977.2,764520099.5,31047,15523.5,22332,8715,15523.5,37963090130,18981545064.885,34543638091,3419452039,18981545064.885,39.54,47.48,31.6,39.54,254581416.9,127290708.5,141659664.3,112921752.7,127290708.5,-8.56,-4.95,-12.17,-8.56,1880481216,940240607.9,1733423878,147057337.9,940240607.9,-62.08,-58.89,-65.27,-62.08,-57.49,-48.63,-66.35,-57.49,-0.96,13.27,-15.19,-0.96,2.215,4.11,0.32,2.215,-0.08,0,-0.16,-0.08,0,0,0,0,0,0,0,0,0,1425,712.5,808,617,712.5,4.505,4.78,4.23,4.505,-6.725,-2.28,-11.17,-6.725,206152112.5,103076056.2,158000149.9,48151962.63,103076056.2,227,113.5,198,29,113.5,3854,1927,2362,1492,1927,5,5,5,5,5,210,105,164,46,105,126,63,101,25,63,0,0,0,0,0,617,308.5,433,184,308.5,1,1,1,1,1,95,47.5,78,17,47.5,1,1,1,1,1,670,335,418,252,335,56,28,51,5,28,5.945,9.16,2.73,5.945,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31306154020,15653077010.215,29416044164,1890109857,15653077010.215,3026,1513,2279,747,1513,0,0,0,0,0,664,332,475,189,332,5,5,5,5,5,5,2.5,3,2,2.5,0,0,0,0,0
通用设备制造业,河北省,2,,,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5729598549,2864799274,3870559007,1859039542,2864799274,271733778.2,135866889.1,143914534.8,127819243.4,135866889.1,3235,1617.5,1780,1455,1617.5,2461461049,1230730525,1453898556,1007562493,1230730525,11.12,12.28,9.96,11.12,105136041.8,52568020.9,55360583.89,49775457.91,52568020.9,6.665,21.44,-8.11,6.665,272392507.4,136196253.7,140966365.2,131426142.2,136196253.7,-26.08,-2.34,-49.82,-26.08,-15.405,6.51,-37.32,-15.405,28.43,69.08,-12.22,28.43,4.385,4.91,3.86,4.385,0.62,1.34,-0.1,0.62,0,0,0,0,0,0,0,0,0,346,173,181,165,173,11.865,30,-6.27,11.865,18.73,42.98,-5.52,18.73,21137119.62,10568559.81,12068318.52,9068801.1,10568559.81,126,63,85,41,63,743,371.5,559,184,371.5,1,1,1,1,1,61,30.5,46,15,30.5,47,23.5,44,3,23.5,0,0,0,0,0,47,23.5,27,20,23.5,0,0,0,0,0,11,5.5,6,5,5.5,0,0,0,0,0,45,22.5,34,11,22.5,7,3.5,5,2,3.5,10.835,11.61,10.06,10.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613629232,306814616,386256637.9,227372594,306814616,1004,502,822,182,502,0,0,0,0,0,147,73.5,115,32,73.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
半导体业,河北省,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,15328722434,15328722434,15328722434,15328722434,15328722434,2640418944,2640418944,2640418944,2640418944,2640418944,2232,2232,2232,2232,2232,7119908411,7119908411,7119908411,7119908411,7119908411,36.28,36.28,36.28,36.28,1249462863,1249462863,1249462863,1249462863,1249462863,33.29,33.29,33.29,33.29,2881921742,2881921742,2881921742,2881921742,2881921742,34.63,34.63,34.63,34.63,33.04,33.04,33.04,33.04,44.35,44.35,44.35,44.35,17.59,17.59,17.59,17.59,1.3,1.3,1.3,1.3,3832873.93,3832873.93,3832873.93,3832873.93,3832873.93,-98.18,-98.18,-98.18,-98.18,1122,1122,1122,1122,1122,15.3,15.3,15.3,15.3,8.26,8.26,8.26,8.26,169682934.3,169682934.3,169682934.3,169682934.3,169682934.3,790,790,790,790,790,867,867,867,867,867,5,5,5,5,5,207,207,207,207,207,121,121,121,121,121,0,0,0,0,0,96,96,96,96,96,1,1,1,1,1,83,83,83,83,83,1,1,1,1,1,69,69,69,69,69,28,28,28,28,28,50.23,50.23,50.23,50.23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553595590,5553595590,5553595590,5553595590,5553595590,2002,2002,2002,2002,2002,0,0,0,0,0,555,555,555,555,555,5,5,5,5,5,6,6,6,6,6,0,0,0,0,0
建筑业,河北省,4,,,,,,,4,,,2,1,1,,,,,2,,,,,,,,,,,1,,,,,,1,,,,,,,,80329585788,20082396447.1025,67631844596,1076504653,5810618270,92815905.11,23203976.28,315437929,-347349571,62363773.56,10863,2715.75,9103,424,668,45251775575,11312943894,40006029376,659911398.7,2292917400,68.115,90.81,18.52,81.565,185410233.2,61803411.0566667,150123794,596808.66,34689630.51,-6.385,12.44,-33.66,-2.16,253180203.4,63295050.84,439906534,-366091325,89682497.18,-175.44,186.87,-857.27,-15.68,-192.0525,189.02,-932.83,-12.2,52.645,96.49,8.8,52.645,1.89666666666667,5.27,0.07,0.35,0.045,0.28,-0.19,0.045,0,0,0,0,0,0,0,0,0,110,55,106,4,55,1.04,1.04,1.04,1.04,-0.075,5.53,-5.76,-0.035,10612594.72,3537531.57333333,6345915.54,2039018.18,2227661,52.97,13.2425,30,1.71,10.63,1602,534,1391,68,143,0,0,0,0,0,61,20.3333333333333,43,8,10,63,21,52,3,8,0,0,0,0,0,253,84.3333333333333,222,11,20,0,0,0,0,0,27,9,21,2,4,0,0,0,0,0,320,106.666666666667,299,9,12,9,4.5,8,1,4.5,12.16,23.86,0.46,12.16,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71163832240,17790958059.8975,61464303468,199733017.4,4749897877,1488,496,1130,166,192,0,0,0,0,0,273,91,227,20,26,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
铁路、船舶、航空航天和其他运输设备制造业,河北省,2,,1,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,89463207404,44731603702.235,85867784970,3595422434,44731603702.235,532094247.1,266047123.6,369939768,162154479.1,266047123.6,27014,13507,25647,1367,13507,39556315094,19778157546.935,38298051204,1258263890,19778157546.935,39,46.8,31.2,39,2589148729,1294574364,2546270378,42878350.81,1294574364,13.995,35.74,-7.75,13.995,609714597.9,304857298.9,424385264.2,185329333.7,304857298.9,-19.785,-4.07,-35.5,-19.785,-38.48,-34.77,-42.19,-38.48,26.935,57.83,-3.96,26.935,5.05,6.63,3.47,5.05,0.51,0.91,0.11,0.51,337200265,337200265,337200265,337200265,337200265,158.79,158.79,158.79,158.79,4003,4003,4003,4003,4003,10.06,10.06,10.06,10.06,6.46,12.61,0.31,6.46,185336388.7,92668194.36,180625158.1,4711230.62,92668194.36,540,270,505,35,270,11381,5690.5,11299,82,5690.5,9,9,9,9,9,2790,1395,2781,9,1395,1263,631.5,1259,4,631.5,0,0,0,0,0,1479,739.5,1467,12,739.5,4,4,4,4,4,904,452,903,1,452,4,4,4,4,4,1063,531.5,1054,9,531.5,373,373,373,373,373,15.69,15.69,15.69,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41334763517,20667381758,40212602939,1122160578,20667381758,19787,9893.5,19632,155,9893.5,0,0,0,0,0,6345,3172.5,6331,14,3172.5,9,9,9,9,9,10,10,10,10,10,1,1,1,1,1
水利、环境和公共设施管理业,河北省,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832310649.2,832310649.2,832310649.2,832310649.2,832310649.2,-86795825.03,-86795825.03,-86795825.03,-86795825.03,-86795825.03,250,250,250,250,250,186793543.5,186793543.5,186793543.5,186793543.5,186793543.5,52.38,52.38,52.38,52.38,7543545.78,7543545.78,7543545.78,7543545.78,7543545.78,5.84,5.84,5.84,5.84,-29020376.47,-29020376.47,-29020376.47,-29020376.47,-29020376.47,88.67,88.67,88.67,88.67,67.45,67.45,67.45,67.45,13.89,13.89,13.89,13.89,4.03,4.03,4.03,4.03,0.23,0.23,0.23,0.23,0,0,0,0,0,0,0,0,0,44,44,44,44,44,10,10,10,10,-3.01,-3.01,-3.01,-3.01,3726849.04,3726849.04,3726849.04,3726849.04,3726849.04,21,21,21,21,21,187,187,187,187,187,2,2,2,2,2,34,34,34,34,34,29,29,29,29,29,0,0,0,0,0,21,21,21,21,21,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,18,18,18,18,18,2,2,2,2,2,17.18,17.18,17.18,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435544998.9,435544998.9,435544998.9,435544998.9,435544998.9,655,655,655,655,655,0,0,0,0,0,75,75,75,75,75,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
科学研究和技术服务业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
