行业,district,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
科学研究和技术服务业,全国,127,2,14,,1,22,6,82,,71,12,6,38,47,14,5,3,7,2,1,,,,2,2,,,,2,1,3,3,7,1,26,,,,1,,,,708128273585.95,5575813177.84213,64690388805,309599699,2388767667,41455217160,326419032.759528,8902617452,-5637363547,93806910.96,394311,3104.81102362205,44397,93,1380,319739866341.36,2517636742.84535,39354754462,92814817,845084514.9,34.388031496063,228.6,3.02,30.39,16698476452,134665132.680403,1613958724,5773335.79,64518995.42,10.8561904761905,237.82,-60.77,8.785,45378449972,357310629.702913,10652262207,-3589258153,115915316,-28.17984127,442.43,-1178.3,-5.365,-34.90611111,493.39,-1820.81,-0.475,33.7273770491803,467.57,-49.63,18.265,7.82451612903226,39.33,1.16,6.105,1.13834710743802,12.08,-3.38,0.69,662845742.2,31564082.9619048,254085244.2,-1390891.62,11374070.05,134.707222222222,1371.79,-106.38,55.335,109365,951,36666,9,226,18.2512727272727,214.17,-88.5,13.54,9.91991935483871,121.67,-62.1,7.82,2256992050,18201548.7933871,342679098.8,46936,9723255.495,12726.16,100.205984251969,1839,2.04,42,54898,449.983606557377,6738,8,154,1594,33.9148936170213,466,1,8,7172,59.2727272727273,490,1,29,5981,51.1196581196581,830,1,22,0,0,0,0,0,7938,65.603305785124,1018,1,24,251,11.952380952381,98,1,3,3379,31.287037037037,322,1,11.5,251,11.952380952381,98,1,3,7048,58.7333333333333,827,1,20.5,1480,13.9622641509434,130,1,6,26.2346086956522,96.01,3.85,18,0,0,0,0,0,0,0,0,0,0,22,1.46666666666667,4,1,1,3,1.5,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.14285714285714,2,1,1,0,0,0,0,0,263884910557.18,2077833941.39512,25951711167,30299482.09,726793524.7,96530,791.229508196721,9640,5,265,0,0,0,0,0,21938,179.819672131148,2143,3,74.5,1600,34.0425531914894,469,1,8,237,6.58333333333333,43,1,2.5,25,3.125,7,1,2.5
交通运输、仓储和邮政业,全国,176,,39,,,76,3,56,2,35,64,2,75,15,15,5,,23,3,16,,,,22,,,,,2,,,39,18,,16,,,2,,,,,8532394942832.69,48479516720.6403,511779762380.93,110955307.5,14865467775.995,174697503523.19,992599451.836307,131417199817,-45175938358,229005394.2,2128091,12230.408045977,390002,30,2946.5,3372843508995.96,19163883573.8407,391058488036.12,6393571.21,5687883079,44.3886931818182,215.07,-167.04,44.915,17493691246,163492441.548785,3528149953,235830.08,28732726.26,6.51045454545454,589.68,-66.96,0.62,382996497794.96,2176116464.74409,167263753640.69,-46084570565,278839185,-430.3142614,711.3,-57571.74,-1.525,-111.5267614,562.7,-8240.83,-3.91,32.4471134020619,629.09,-98.52,14.34,1.12420560747664,13.55,0.01,0.56,0.0785106382978723,4.01,-2.56,0.045,2529163393,68355767.3837838,1266412775,94986,11000389,10.084,1318.41,-103,-20.22,39242,451.057471264368,5656,3,139,11.8168831168831,492.9,-77.54,4.45,3.97872832369942,207.2,-26,-0.5,19209340083,117848712.167791,4688008342,10459,22595123.86,39783.38,226.041931818182,2588,0.7,83.5,21453,156.591240875912,3861,1,38,84,5.25,17,1,2,1774,18.6736842105263,440,1,6,1831,20.5730337078652,428,1,4,0,0,0,0,0,2850,25.4464285714286,283,1,8,4,1,1,1,1,1170,13.9285714285714,200,1,5,4,1,1,1,1,2596,26.2222222222222,231,1,8,457,7.87931034482759,117,1,3,4.88770114942529,28.45,0.18,3.3,0,0,0,0,0,0,0,0,0,0,9,2.25,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309155215971.47,24483836454.3834,273451115168,-2.73E+11,6035069760,32174,259.467741935484,6704,1,41,0,0,0,0,0,8021,67.9745762711864,2185,1,14.5,84,5.25,17,1,2,30,1.66666666666667,6,1,1,13,1.3,3,1,1
医药制造业,全国,449,7,16,,2,49,29,346,,166,132,9,142,134,21,5,4,105,14,4,,1,,6,1,2,1,,8,,1,21,7,11,99,,4,,,,,,3722042232214.07,8289626352.36987,215534032322,1150798,3611236727,89153330368,198559755.83029,7538997240,-13642054864,104428971.9,1363694,3057.60986547085,67076,13,1397,1846601808931.63,4235325249.84319,218182968893,26016.38,1409122601,182.387772828508,67466.37,-37.12,29.13,200672554370.66,459204929.909977,11152030158,756141.28,147904565,92.299627039627,23523.81,-91.5,8.12,126211088537.55,281093738.39098,8758383466,-13425285925,120598211.9,-110.139308,1735.26,-37231.11,-0.495,-9.276681514,3676.04,-2011.44,2.68,55.2653546910755,15825.87,-101,11.55,2362.02070754717,934642.8,0.09,7.135,-10522.54188,9710.55,-3234076.58,0.2,18201758945,102834796.301582,1583003526,37538.23,28506507.1,229.31125,23177.65,-108,-5.3,165745,430.506493506493,5017,6,240,11.5972394366197,339.63,-77.6,4.46,7.14990990990991,388.48,-65.72,3.9,15545858555,36407162.891288,550659100.5,3145,16022561.62,59157.93,131.754855233853,3059,0.08,60,118480,284.807692307692,3948,1,141,7804,26.5442176870748,957,1,8.5,32389,79.5798525798526,974,1,35,23306,59.3027989821883,875,1,24,0,0,0,0,0,10138,27.6239782016349,329,1,13,1426,8.9125,163,1,4,5249,15.1705202312139,172,1,7,1429,8.93125,166,1,4,9468,25.7282608695652,337,1,12,3768,11.2814371257485,203,1,5,20.48992188,93.26,0.15,16.435,0,0,0,0,0,0,0,0,0,0,41,1.32258064516129,3,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1332675025735.63,2968095825.69183,134977022956,-26840843.5,983185779.7,302095,729.69806763285,12094,1,348,0,0,0,0,0,70515,169.915662650602,1984,1,81,7808,26.5578231292517,957,1,8.5,41,1.64,6,1,1,0,0,0,0,0
文化、体育和娱乐业,全国,88,,4,2,1,33,2,46,,32,25,,31,22,9,1,,21,2,1,,,,1,,,,,,,,23,2,,3,2,,,1,,,,644477533553.39,7323608335.83398,29702316700,65987096.5,4060375947,3700712171,42053547.3980682,2107301295,-5388335969,26728493.78,205021,2329.78409090909,13851,22,658,242825346428.77,2759378936.69057,13704302979,3329565.73,944499386,44.0585227272727,323.53,0.07,35.145,3374726219,59205723.1345614,506007546.9,39517,18911135.74,-3.786704545,414.48,-92.49,-3.32,5719490379,64994208.85,2175128733,-5241001224,23762016.36,-151.7752273,726.3,-3242.03,-34.825,-205.7854545,273.22,-2550.48,-36.135,174.896315789474,8599.64,-94.38,2.15,10.209649122807,417.31,0,1.6,7.82160714285714,408.2,-1.53,0.16,323062930.9,23075923.6364286,106528629.2,605806.41,10235238.37,1581.62615384615,19079.86,-103,-0.99,8265,179.673913043478,1084,19,90.5,13.6879545454545,324.05,-72.85,-2.385,-0.052298851,201.76,-63.3,-4.83,2342875284,27563238.6362353,155306304.6,13577,12695947.77,7897.05,91.8261627906977,648,0.22,56,5420,91.864406779661,821,1,37,4,1.33333333333333,2,1,1,478,10.1702127659574,99,1,4,820,18.2222222222222,106,1,7,0,0,0,0,0,645,20.15625,313,1,7,0,0,0,0,0,371,16.1304347826087,255,1,4,0,0,0,0,0,620,16.7567567567568,139,1,8,137,5.95652173913043,67,1,2,11.2278260869565,56.26,0.34,6.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,270187813944.58,3070316067.55205,19489870322,6530.11,1640088062,7030,125.535714285714,656,2,52.5,0,0,0,0,0,2136,38.8363636363636,691,1,11,4,1.33333333333333,2,1,1,19,2.11111111111111,5,1,1,1,1,1,1,1
专用设备制造业,全国,447,3,28,,1,46,27,340,2,193,72,15,167,153,24,9,6,50,13,3,,,,5,1,1,,,14,,1,16,16,8,123,,1,2,1,,,,3108075756458.56,6953189611.76412,175158937750.84,167218929.5,2619344581,136380358630.63,305101473.4,16484013200,-3952604366,86551601.64,1133740,2542.01793721973,51067,23,1164.5,1506565855246.58,3377950348.0865,93817160647,21603387,1166843091,38.1014317673378,127.6,2.65,36.92,103086776707.99,234821814.824579,7826347871,542019,71176729.8,21.2777802690583,991.8,-67.92,8.12,157667384635.19,352723455.559709,18311835933,-3407104313,104454938,-178.5119463,1724.55,-48361.76,3,-339.6040716,1668.18,-120721.31,2.9,26.0488787185355,1609.93,-75.94,15.48,18.8726712328767,3493.6,0.2,6.22,-33.68306452,67.61,-14702.18,0.255,9807207509,119600091.575488,1977806987,1263123.9,18156370.15,10.8698571428571,1111.95,-109,-7.265,191095,487.487244897959,7518,3,213.5,18.0418157181572,535.55,-78.59,9.92,14.8188248847926,388.13,-41.01,6.665,14889158679,33534141.169482,880533287,102053,11762849.3,47260.21,105.727539149888,3632,0.28,47,387824,908.252927400468,16918,1,391,10188,38.1573033707865,1136,1,6,57606,137.157142857143,3028,1,40,33799,81.2475961538462,1360,1,27.5,0,0,0,0,0,50077,120.667469879518,3066,1,49,1105,10.5238095238095,92,1,4,20667,52.8567774936061,2258,1,15,1105,10.5238095238095,92,1,4,43121,103.906024096386,1835,1,43,8449,23.0846994535519,676,1,7,20.1012755102041,64.62,0.54,17.97,0,0,0,0,0,0,0,0,0,0,64,1.82857142857143,11,1,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5,5,1,1,1,1,1,1,1,1558003967306.75,3485467488.38199,120497270945,33662569.5,927873498,738450,1729.39110070258,30663,3,646,0,0,0,0,0,154704,364.867924528302,9101,1,130,10171,38.0936329588015,1133,1,6,339,3.16822429906542,51,1,2,26,1.85714285714286,5,1,1
化学纤维制造业,全国,34,,3,,,8,1,21,1,20,,1,13,14,4,1,,,,,,,1,,,,,,,,1,3,2,1,7,,,,,,,,1204080974908.26,35414146320.8312,362587447552.63,761219012.8,5966072332,17644848677,518966137.556176,6369771778,-924394158.2,197789996.7,210408,6188.47058823529,38518,302,2223.5,958504991569.06,28191323281.4429,289094860541.79,394388714.8,2712388444,42.5217647058823,99.06,6.13,38.99,14344042762,434667962.477879,4367115143,4887830.8,111631953,13.4694117647059,93.54,-33.2,4.15,18665448548,548983780.831177,5628424164,-1103930695,210864216.6,-9.696176471,301.75,-275.66,-31.785,-12.57735294,222.45,-237.41,-30.86,37.9648484848485,573.7,-22.43,3.5,3.42090909090909,7.73,0.17,3.45,0.0851515151515152,5,-4.06,-0.06,36003931.37,12001310.4566667,19523046.77,143922.5,16336962.1,35.4525,350.79,-101,-53.99,21332,666.625,3126,36,266,19.79125,122.55,-12.5,8.245,9.48441176470588,97.73,-16.4,5.885,5253159641,154504695.319706,2359470443,547591.3,17026283.54,6571,193.264705882353,1172,17,76.5,10453,307.441176470588,1600,24,195.5,140,8.23529411764706,58,1,4,1573,47.6666666666667,296,1,27,1261,38.2121212121212,139,2,30,0,0,0,0,0,1630,47.9411764705882,283,1,21,26,5.2,19,1,2,614,21.1724137931034,116,1,13,26,5.2,19,1,2,1507,48.6129032258064,243,1,20,369,13.6666666666667,127,1,5,12.3778125,20.83,5.33,11.615,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820360808254.44,24128259066.3071,265421615453.32,134062481.5,2137460101,19845,583.676470588235,2582,31,507.5,0,0,0,0,0,4558,134.058823529412,664,11,88.5,140,8.23529411764706,58,1,4,48,2.4,7,1,2,2,1,1,1,1
通用设备制造业,全国,213,2,9,,1,36,10,154,1,121,12,14,66,86,23,5,5,5,3,1,,1,,1,1,1,,1,12,1,1,11,2,2,51,,,,,,,,2156986841680.31,10126698787.2315,288020834533,17829651,2632141704,38362522214,180105738.095587,3439323455,-2313009785,70864471.85,599211,2813.19718309859,41798,11,1499,1005551610970.3,4720899582.02019,117623139663,32213226,1453898556,41.3887323943662,109,2.09,41.37,46325286501,219551120.857867,5064008716,4880245,60433263.23,1.99845070422535,292.9,-79.07,1.26,45649252266,214315738.338451,3864928178,-2024453789,78883241.47,-77.35179245,2090.27,-3410.14,-11.535,-79.47492958,1575.64,-3938.26,-10.2,10.1399523809524,291.05,-64,5.4,5.55350710900474,36.23,0.43,4.51,0.474571428571429,21.52,-2.95,0.21,3445587080,98445345.1362857,632872862.7,286555.57,36000487,1.81088235294118,462.34,-105,-14,88982,436.186274509804,5808,24,200,10.69859375,224.19,-75.58,7.145,4.92504807692308,468.19,-93.48,1.785,7119889043,33904233.5397143,1012712445,611183.69,11311240.53,16943.68,79.54779343,1085,0.2,40,152546,729.885167464115,12491,1,392,2582,23.6880733944954,356,1,4,21679,104.729468599034,2200,1,38,16654,80.8446601941748,1946,1,33.5,0,0,0,0,0,14884,72.6048780487805,1144,2,37,286,10.5925925925926,112,1,2,5659,29.7842105263158,725,1,13,284,10.5185185185185,110,1,2,14161,68.7427184466019,846,2,36.5,3095,17.5852272727273,315,1,5,16.0671078431373,64.79,2.58,13.85,0,0,0,0,0,0,0,0,0,0,41,2.5625,12,1,1.5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.75,3,1,1.5,0,0,0,0,0,1287623070721,6045178735.77934,193826690424,5429984,1019740465,299639,1433.67942583732,33470,32,615,0,0,0,0,0,59556,284.956937799043,6355,1,118,2596,23.8165137614679,355,1,4,302,3.775,37,1,2,11,1.57142857142857,4,1,1
化学原料和化学制品制造业,全国,364,1,21,1,2,62,13,263,1,193,39,8,124,146,25,13,5,31,4,2,,2,1,2,1,,,,6,,2,33,6,4,80,1,,,,,,,3056536338441.91,8397077852.86239,200843104094.19,181346259,3353188403,224634596167.26,617128011.448516,19679965470,-1304162595,172629240.1,925809,2550.43801652893,26313,83,1253,2170051660099.06,5961680384.88753,165565462711.66,62198683,2467207617,38.4876373626374,239.16,0.08,36.815,56818442228,162803559.393782,3420091372,259837.82,80395292.97,28.0379120879121,3080.02,-80.5,10.85,266966244839.05,733423749.55783,21398672937,-1350704397,208384305.7,-80.8638292,8057.44,-38101.1,-8.18,3.43826923076923,7223.82,-4870.08,-4.36,33.6640173410405,2766.85,-92.9,13.42,3.96126074498567,22.75,0.06,3.57,-0.020647059,11.67,-54.61,0.11,1295621573,24915799.4871154,381648018.3,13583,9104137.76,99.0136538461539,3491.58,-107,-20.3,97888,298.439024390244,3283,2,172.5,19.4887296416938,848.64,-73.37,7.68,8.09437325905293,185.83,-72.02,4.71,9935697591,27446678.4289779,760840377.3,63765.48,10019029.08,34115.3,93.7233516483517,2754,0.3,46.5,128548,363.129943502825,5073,2,189.5,2078,12.0115606936416,211,1,4,32074,91.64,2678,1,38,24472,70.3218390804598,1084,1,32,0,0,0,0,0,14363,43.9235474006116,971,1,23,164,3.72727272727273,30,1,2.5,7398,23.9417475728155,955,1,10,164,3.72727272727273,30,1,2.5,13059,38.9820895522388,1365,1,19,5355,17.6732673267327,1344,1,7,13.8817125382263,39.18,0.25,13.12,0,0,0,0,0,0,0,0,0,0,26,1.18181818181818,5,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.16666666666667,2,1,1,1,1,1,1,1,1382096148845.25,3796967441.88256,119506239400.72,5721232,1244216006,315353,893.351274787535,14943,1,417,0,0,0,0,0,73784,210.210826210826,4930,1,100,2078,12.0115606936416,210,1,4,219,2.60714285714286,30,1,1,85,2.17948717948718,16,1,1
采矿业,全国,143,,28,,,39,7,69,,29,65,,49,17,9,3,,40,6,11,,,,8,,,,,,,,22,14,1,12,,,,,,,,16425749597525,114865381800.874,2673751852239,95317975,11270578623,1364676786015.94,9543194307.80378,163977075683,-1197383992,537335892,3067260,21449.3706293706,398482,19,3069,18206861699735.1,127320711186.959,3318168582439,137351,6266785975,51.7253846153846,695.67,-75.75,48.15,168449920333.44,1773157056.14147,28718073221,256026,170515324.8,29.7572727272727,1005.79,-99.74,12.23,1848766550514.11,12928437416.1826,242564086239,-1175468582,739206789,241.382517482517,16004.93,-1659.81,25.42,110.802237762238,4059.5,-1222.58,30.3,49.0558888888889,1737.79,-70.64,11.925,2.23589473684211,12.5,0,1.73,0.124444444444444,9.3,-2.57,0.04,35211734284,1600533376.56227,9737004196,1046892.77,108287929.9,-0.5675,117.58,-106,4.02,118673,1521.44871794872,13172,4,447,18.9434782608696,370.81,-79.16,4.94,17.7214705882353,1518.25,-37.43,2.11,22309068144,172938512.747829,9277002159,-59575527,17488792,83569.81,588.519788732394,13198,0.23,93.5,347111,3337.60576923077,74430,1,318.5,1825,57.03125,506,1,8.5,111608,1116.08,33532,1,29,48939,520.627659574468,11243,1,36,0,0,0,0,0,18567,204.032967032967,2284,1,51,355,22.1875,119,1,2.5,8430,105.375,925,1,19,343,21.4375,114,1,2.5,26846,291.804347826087,5773,1,38,14152,186.210526315789,3886,1,7,10.4141025641026,36.98,0,9.56,0,0,0,0,0,0,0,0,0,0,164,6.07407407407407,60,1,2,12,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,1,4,0,0,0,0,0,7548864156618.15,52789259836.4906,1135648876745,-3018752778,4856695733,861749,8286.04807692308,195455,2,525.5,0,0,0,0,0,216557,2082.27884615385,59386,1,83.5,1835,57.34375,505,1,8.5,277,11.08,88,1,3,74,7.4,26,1,2
住宿和餐饮业,全国,35,,1,,,7,9,18,,4,27,,4,1,3,,,16,9,1,,,,1,,,,,,,,3,,,1,,,,,,,,514172803325.05,14690651523.5729,79480128939,18331615.74,4100516971,-13626281400,-389322325.7,2970592477,-7373830129,-152315358,701184,21912,400069,7,2993.5,190023374828.28,5429239281,64311354391,16219113.21,941967832,65.5788571428571,262.36,2.85,63.83,140379782.3,17547472.79,60018040.1,1608386,3320006.53,599.818,21217.83,-88.79,-4.17,-4494209746,-128405992.7,4227384455,-4994262918,-151269379,-3504.292286,540.08,-100587.28,-34.04,-481.3174286,715.82,-6774.3,-24.62,33.7957142857143,80.16,4.13,17.67,0.55875,2.1,0.01,0.25,0.1,0.23,0.01,0.075,14525935.84,14525935.84,14525935.84,14525935.84,14525935.84,4361.76,4361.76,4361.76,4361.76,274,54.8,108,14,61,9.0275,26.66,-4,6.725,-7.509310345,37.01,-41.94,-6.33,832839884.9,28718616.7210345,295714693,102923,10484715,6480.5,185.157142857143,1708,0.49,38,364,36.4,236,3,12,0,0,0,0,0,15,5,12,1,2,9,2.25,6,1,1,0,0,0,0,0,14,4.66666666666667,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12.6666666666667,31,1,6,3,1.5,2,1,1.5,0.894,2.09,0.27,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353187737964.77,10091078227.5649,64628179290,10224525.27,1775174004,200,25,156,1,4,0,0,0,0,0,58,9.66666666666667,46,1,2.5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
纺织鞋服业,全国,177,,3,,,12,25,135,2,54,72,1,50,47,3,,3,50,18,2,,,1,2,,,,,1,,,7,1,4,37,,,1,,,,,892813723899.42,5044145332.76509,77777064305,717976.3,2198017574,34977179729,197611184.909379,8245006175,-2035326089,29686695.5,1061271,6099.25862068965,155459,30,1818.5,594978247591.97,3361459025.94333,53651018996,53391739.49,1365165240,288.581355932203,22671.83,0.49,37.95,11687942236,90604203.3805426,1279007328,113097,51792681.7,-1.615480226,132.69,-99.97,-1.89,48671171741,274978371.419096,11230087833,-1994001627,42261068.5,-191.3427684,1604.6,-7949.9,-28.57,-260.8424859,1663.67,-19056.44,-17.2,23.45304,1718.17,-89.31,6.1,3.1377519379845,13.13,0.07,2.87,0.285241935483871,6.06,-2.19,0.14,13213486.64,3303371.66,5094918,150997.34,3983785.65,-61.9375,10.06,-107,-75.405,29918,299.18,2826,3,205.5,5.63031914893617,104,-101,1.59,-2.222325581,156.18,-58.99,-2.885,6294319994,36594883.6886628,1903007176,-382028,7968120.59,10942.15,61.8200564971751,2098,0.28,24,54982,413.398496240602,7023,2,213,148,4.11111111111111,20,1,2,3715,31.218487394958,590,1,15,4810,39.7520661157025,986,1,15,0,0,0,0,0,4847,42.1478260869565,484,1,20,13,2.16666666666667,7,1,1,927,10.1868131868132,72,1,6,13,2.16666666666667,7,1,1,4534,38.1008403361345,380,1,19,465,5.8125,43,1,3,8.9373,28.91,0.71,8.33,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,403462431605.93,2279448766.1352,39666561476,1151627,807093058.9,51689,394.572519083969,7628,2,241,0,0,0,0,0,11211,88.9761904761905,1836,1,47,148,4.11111111111111,20,1,2,80,2.35294117647059,9,1,1,3,1.5,2,1,1.5
