企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
云达通通仓储公司,239385,2022,1909834189.0,119993569.27,868.0,5755817548.5,54.38,,-8.28,120829111.29,-55.09,-48.06,,,,,,,,-9.8,4365049.78,5.96,215.0,,10.0,28.0,,14.0,,14.0,,8.0,4.0,,,,,,,,,,,1038832571.78,291.0,,97.0,,,
和联锦智重工公司,239408,2022,1923653533.18,56904530.48,735.0,382018033.97,21.22,26666344.18,34.81,62225209.49,119.41,217.62,-4.86,6.99,-2.96,3534593.62,-65.62,96.0,24.62,20.0,13780343.31,76.0,227.0,10.0,36.0,11.0,,22.0,2.0,10.0,2.0,12.0,,13.13,,,,,,,,,,408643864.46,539.0,,78.0,10.0,,
金飞数慧系统公司,239516,2022,1481415276.71,-290945140.69,905.0,261299232.6,30.58,113929248.0,-46.26,-286008626.5,-95.7,-127.06,-28.19,43.6,11.06,13110381.0,-73.95,280.0,-47.67,-26.85,24724729.02,27.0,260.0,,21.0,33.0,,26.0,,17.0,,21.0,5.0,31.6,,,1.0,,,,,,,453097245.18,571.0,,124.0,,3.0,
平告鸿泽电气公司,239686,2022,16012010037.08,274775936.94,5743.0,11748682768.64,68.52,363809995.22,-0.8,695734569.79,146.91,118.78,-16.74,3.1,-0.52,,,557.0,-13.37,-26.95,192460413.07,162.0,1519.0,2.0,243.0,231.0,,241.0,,145.0,,227.0,74.0,9.6,,,1.0,,,,,,,10972263031.64,3077.0,,798.0,2.0,2.0,1.0
海丽耀光电气公司,239893,2022,2881139055.6,68350318.76,2064.0,930624022.89,35.41,56230698.9,35.73,73834196.8,46.39,43.24,36.1,6.09,0.09,,,210.0,18.81,44.32,2693562.58,43.0,296.0,,19.0,31.0,,17.0,,7.0,,13.0,3.0,10.36,,,,,,,,,,1021686725.06,407.0,,95.0,,,
果融盛恒金融控股公司,240059,2022,34788497595.8,-328162429.09,2114.0,3516169127.62,65.89,6405916.29,-23.02,-326959689.45,-146.8,-164.25,2070.55,0.11,0.12,,,34.0,582.0,-11.25,13580724.36,226.0,39.0,,6.0,19.0,,1.0,,1.0,,,,1.67,,,,,,,,,,22905346913.95,201.0,,25.0,,,
爱信泽信5G 科技公司,240081,2022,1063804914366.0,35562047956.0,207089.0,642338089982.0,58.93,161500086593.0,0.83,42216024945.0,-65.25,-68.75,13.18,25.18,2.77,,,114091.0,6.56,6.19,6552005523.0,,108994.0,65106.0,57963.0,27767.0,,1970.0,5098.0,1434.0,5094.0,7068.0,6418.0,55.01,,,2.0,1.0,,,,,,626728093271.0,771138.0,,101967.0,65107.0,74.0,109.0
药石瑞生药业股份公司,240098,2022,8107827953.69,-1257989343.9,4586.0,3587542522.17,59.26,330544837.19,-44.64,-1458933373.9,-409.02,-396.34,-18.98,9.25,2.99,125812578.92,45.1,133.0,-64.27,-28.37,101700462.26,59.0,51.0,,2.0,,,,,,,1.0,1.0,2.98,,,,,,,,,,4801349423.09,55.0,,5.0,,,
衡信锦昌金融控股公司,240105,2022,25391578.2,-8730764.0,5.0,41114.0,24.79,,-89.5,-8720125.23,-74.08,-74.2,,,,,,,,,61756.0,0.66,,,,,,,,,,,,,,,,,,,,,,6290889.29,,,,,,
花电泽锦热力公司,240230,2022,2673225205.47,-156545355.71,713.0,806969779.73,83.5,,22.3,-150682752.45,-53.32,-9.3,,,,,,,,-4.68,2241592.38,20.0,,,,,,,,,,,,,,,,,,,,,,2232069499.9,,,,,,
瑞富盛泰投资管理公司,240420,2022,617256296646.4,8898001312.0,14898.0,25132078855.0,79.74,,-26.61,10447773190.38,-30.45,-26.15,,,,,,,,12.38,1364712929.86,1041.0,73.0,,10.0,18.0,,17.0,,17.0,,4.0,3.0,,,,,,,,,,,492463470680.2,224.0,,71.0,,,1.0
润会科数信息技术公司,240475,2022,1466613427.24,28970265.28,312.0,525813056.83,7.65,115245107.13,-40.77,1280511.56,-99.5,-87.8,32.81,21.9,12.12,,,225.0,54.74,47.96,11576590.03,39.0,295.0,2.0,29.0,6.0,,46.0,,40.0,,30.0,14.0,72.08,,,,,,,,,,111554458.97,291.0,,197.0,2.0,,
格尔耀智电气公司,240611,2022,2196031304.64,-59395330.95,1302.0,1162414400.2,48.91,45912816.19,-24.95,-55455004.06,-143.44,-155.57,-32.64,3.92,-0.49,,,222.0,-26.92,-31.13,4668160.96,26.0,249.0,,18.0,33.0,,24.0,,6.0,,25.0,1.0,16.83,,,,,,,,,,1074499497.0,183.0,,71.0,,,
用丰数创科技公司,240614,2022,1012214912.37,36459347.91,1027.0,491293463.66,18.1,163861661.05,46.96,28450066.75,137.33,157.69,3.06,33.3,-14.28,18844560.28,-20.09,568.0,,-5.64,3599899.57,27.0,80.0,,29.0,18.0,,8.0,,8.0,,7.0,7.0,55.39,,,,,,,,,,183960718.21,285.0,,78.0,,,
碧园产锦不动产公司,240872,2022,12493460776.0,-462390941.0,27910.0,7126164916.0,37.81,,-9.82,-730152173.0,-143.98,-130.05,,,,,,,,-26.74,74235648.0,62.0,,,,,,,,,,,,,,,,,,,,,,4724424122.0,,,,,,
海山悦饮饮料公司,241023,2022,24491162927.01,4406240498.95,13078.0,27937107566.86,44.86,829408831.2,22.37,5160173390.47,79.76,85.49,27.71,2.99,0.19,,,301.0,38.84,0.41,176069746.91,265.0,180.0,1.0,54.0,16.0,,20.0,,14.0,,37.0,17.0,2.37,,,,,,,,,,10975136298.33,441.0,,120.0,1.0,,
长成锦骏新能源汽车公司,241054,2022,4766455754.85,95095694.38,1332.0,1524352478.4,27.44,64996477.09,20.27,106007623.64,4.84,4.08,19.47,4.28,-0.04,,,249.0,13.2,15.94,13941522.5,79.0,280.0,,23.0,25.0,,46.0,,13.0,,42.0,2.0,18.06,,,,,,,,,,1308506483.24,482.0,,68.0,,,
三三智智重工公司,241106,2022,1384165391.2,121628912.43,330.0,463497132.4,23.7,42346959.75,32.91,136707483.16,58.08,59.2,48.02,9.12,0.92,,,143.0,,31.74,20172915.1,66.0,271.0,3.0,68.0,11.0,,19.0,,15.0,,32.0,18.0,43.94,,,,,,,,,,328004148.04,350.0,,147.0,3.0,,
恒通信信5G 科技公司,241211,2022,5389792193.0,-56362431.0,749.0,2630321358.0,34.2,44195971.0,-8.1,-24334171.0,-119.57,-125.12,-23.92,1.64,-0.39,,,,,-22.37,1191983.0,7.6,330.0,5.0,60.0,30.0,,47.0,,25.0,,35.0,3.0,,,,,,,,,,,1845368977.0,930.0,,142.0,5.0,,
萌牛醇味餐饮管理公司,241237,2022,1379907893.6,-921182066.15,463.0,146398292.01,11.21,865582.19,-32.62,-920465164.8,-5456.72,-5590.66,-1.93,0.53,0.14,,,30.0,-30.29,-0.69,9292857.38,86.0,23.0,,2.0,4.0,,2.0,,1.0,,2.0,,6.53,,,,,,,,,,155542421.01,16.0,,7.0,,,
比迪盛锦汽车公司,241373,2022,162796907007.5,8061200746.91,56383.0,158267975357.57,64.93,7161462668.12,13.01,9107908918.43,2.03,0.81,12.74,4.51,-0.09,,,10987.0,11.63,4.91,554523010.85,586.0,11550.0,441.0,1095.0,825.0,,717.0,61.0,158.0,61.0,790.0,105.0,19.43,,,1.0,,,,,,,105742299162.36,18462.0,,3272.0,444.0,1.0,
人明创泰智能电气公司,241437,2022,76701257268.19,6904731191.05,10445.0,46828947619.98,40.88,3124623656.35,10.4,7851769056.66,14.72,14.24,1.18,6.62,-0.6,263914676.83,22.01,3389.0,4.27,9.73,111513685.95,1850.0,16106.0,411.0,5973.0,3464.0,,1650.0,17.0,1486.0,17.0,1829.0,1561.0,32.3,,,22.0,1.0,,,,16.0,,31342886718.95,64088.0,,13403.0,412.0,26.0,
基亚锦达信息技术公司,241503,2022,2168757807.64,107721229.0,248.0,242572184.07,3.7,79845635.92,27.24,105770870.11,10.36,8.93,97.1,32.95,11.69,,,135.0,61.78,52.5,5315185.68,99.0,81.0,,32.0,20.0,,4.0,,4.0,,1.0,1.0,53.63,,,,,,,,,,80169025.68,258.0,,67.0,,,
柏森优雅智能家具公司,241638,2022,867829268.91,36888659.1,145.0,322705110.1,9.6,6836286.72,-31.76,47450690.2,-46.57,-46.15,-15.01,2.18,0.44,,,42.0,-2.38,-4.54,265729.05,19.0,286.0,,,7.0,,48.0,,2.0,,56.0,,28.39,,,,,,,,,,83656998.4,83.0,,22.0,,,
花为锦畅通信公司,241648,2022,2719620550.3,-131137396.37,4213.0,1925492007.47,59.83,50769530.26,-22.87,-169162924.71,-3.42,20.49,-43.62,2.66,-0.94,,,372.0,-31.96,-50.8,72732752.24,32.0,490.0,,31.0,30.0,,24.0,,5.0,,33.0,5.0,8.88,,,,,,,,,,1628122511.25,722.0,,159.0,,,
长钢金金铜业公司,241669,2022,20855352015.0,1638727474.0,10396.0,19193645228.0,37.95,,-19.72,2881801755.5,-59.07,-70.9,,,,,,,,4.06,48587824.0,210.0,96.0,,8.0,7.0,,17.0,,5.0,,12.0,,,,,,,,,,,,7919779489.27,125.0,,20.0,,,
西业昌盛矿业公司,241762,2022,2673751852239.0,163977075683.0,398439.0,3239167526466.0,42.42,28718059628.0,23.9,242564052111.0,33.12,42.91,21.0,0.81,-0.06,8701551451.0,24.3,,,-4.45,1203006672.0,13198.0,37260.0,201.0,10103.0,4409.0,,285.0,45.0,146.0,45.0,1743.0,1541.0,,,,60.0,6.0,,,,,,1135648876745.0,91440.0,,20885.0,207.0,70.0,19.0
北景建泽泰集团公司,241824,2022,69205777492.5,1970661815.64,14938.0,26463951835.0,79.61,526736480.3,13.77,2806109616.1,-0.09,0.95,26.47,1.9,0.2,,,440.0,17.3,19.45,17359621.96,94.0,715.0,,128.0,59.0,,135.0,,85.0,,151.0,60.0,2.94,,,,,,,,,,55117459911.63,682.0,,371.0,,,
上境锦源环保公司,241839,2022,40772565586.41,-6110904212.28,3173.0,3373163338.98,85.1,113245204.96,-67.89,-5594798660.7,-335.76,-420.34,-33.41,3.32,1.76,2229460.14,,437.0,-7.0,-6.49,12050453.33,46.0,871.0,,160.0,89.0,,66.0,,15.0,,57.0,8.0,13.62,,,,,,,,,,34718068303.39,2776.0,,355.0,,,
碧竹森泰纸品制造公司,241867,2022,2018787640.03,150549799.03,1444.0,1516334820.37,10.33,20302165.9,15.77,194169534.56,30.15,31.97,123.0,1.38,0.66,,,108.0,94.21,0.36,5662453.47,27.0,105.0,,2.0,1.0,,28.0,,1.0,,31.0,1.0,7.0,,,,,,,,,,208851104.27,34.0,,6.0,,,
恒丽信云数据服务公司,242101,2022,350392107.8,-18495907.6,108.0,37535380.0,6.75,7460223.0,5.93,-20303483.8,20.8,16.24,-17.4,19.89,-5.66,,,27.0,-34.16,-17.88,295791.2,1.1,1.0,,,1.0,,,,,,,,26.76,,,,,,,,,,23724171.0,4.0,,1.0,,,
柳业锦航科技公司,242227,2022,7373789629.48,148512269.5,3674.0,3482831102.42,65.24,241832323.0,64.08,143409789.79,5.7,13.65,45.2,6.98,-0.9,,,849.0,72.64,57.0,49290396.94,57.0,1460.0,42.0,311.0,225.0,,267.0,4.0,118.0,4.0,165.0,38.0,23.07,,,,,,,,,,4811597040.05,3629.0,,831.0,42.0,7.0,
岸钢锦盛铝业公司,242488,2022,1687618316.82,8718156.95,598.0,1220341680.54,46.81,44606819.55,0.71,2007891.17,-95.71,-80.79,-2.35,3.6,-0.19,,,65.0,-10.97,5.99,8541990.2,18.0,153.0,1.0,40.0,19.0,,14.0,,6.0,,22.0,6.0,11.06,,,1.0,,,,,,,791064698.4,385.0,,77.0,1.0,,
众冶源科研究院公司,242804,2022,1179720933.05,29960435.55,948.0,442060051.6,14.7,53149412.84,-15.85,31660403.2,-73.1,-70.88,61.67,12.0,5.79,,,101.0,21.36,11.48,6475235.07,33.0,15.0,,3.0,2.0,,7.0,,7.0,,3.0,3.0,11.4,,,,,,,,,,173431949.6,5.0,,13.0,,,
北汽驰汽汽车制造公司,242916,2022,493607646.0,53984329.0,541.0,440322918.0,25.58,,-0.04,70746792.0,42.09,43.35,,,,,,,,-1.98,1685144.0,3.47,94.0,,2.0,,,2.0,,,,2.0,2.0,,,,,,,,,,,126136861.0,3.0,,2.0,,,
众白汇源连锁公司,243621,2022,6412781533.93,154337922.85,519.0,2656541937.6,43.35,,-28.7,214013323.18,-60.8,-63.62,,,,,,,,-14.47,13951014.16,23.0,,,,,,,,,,,,,,,,,,,,,,2778524833.46,,,,,,
康原健泰医药公司,243628,2022,1024244004.2,-537477917.34,245.0,62454964.49,45.46,546662344.4,-4.8,-564011973.39,-20.85,-13.82,24.42,877.3,205.01,,,194.0,-3.96,-4.24,14113825.0,4.66,1.0,1.0,1.0,,,,,,,,,79.09,,,,,,,,,,465811966.0,2.0,,1.0,1.0,,
李丁锦悦品牌公司,243749,2022,3496502753.72,-46958731.5,6742.0,3524116729.0,52.99,118795491.0,-3.28,-46208208.0,-197.12,-217.21,3.83,3.31,0.21,,,,,49.6,9555936.5,2.21,,,,,,,,,,,,,,,,,,,,,,1850688591.5,2.0,,,,,
联花源锦连锁公司,243795,2022,1501477829.24,59941318.5,4706.0,1538864448.24,35.35,,29.1,78815916.2,203.71,177.7,,,,,,,,-6.0,378490.27,3.93,,,,,,,,,,,,,,,,,,,,,,530385751.0,,,,,,
景能电热热力公司,243986,2022,14991232393.73,-18170836.74,1143.0,3932182340.55,63.09,141165861.62,0.1,-162901654.88,-265.29,-112.1,101.26,3.56,1.89,,,254.0,24.58,-6.95,25286296.47,59.0,45.0,,2.0,1.0,,2.0,,1.0,,3.0,,22.63,,,,,,,,,,9452636438.09,6.0,,7.0,,,
宝新科云数据服务公司,244123,2022,2500978123.12,43449511.62,340.0,278542817.31,13.28,139859773.09,43.61,45878064.36,56.87,56.03,76.05,50.2,9.21,,,223.0,57.73,44.73,13640220.44,125.0,52.0,,11.0,1.0,,34.0,,33.0,,,,64.76,,,1.0,,,,,,,330799793.76,126.0,,49.0,,,
同博泽社会工作服务众心,244124,2022,2339667022.5,-73869259.47,2636.0,709699439.72,18.53,,-0.28,-78601366.73,-35.2,29.72,,,,,,,,-0.23,2447098.21,48.0,20.0,,1.0,14.0,,1.0,,1.0,,,,,,,,,,,,,,434411594.6,72.0,,15.0,,,
日法泽机科技公司,244199,2022,3870559006.7,143914534.82,1780.0,1453898556.05,9.96,55360583.89,-8.11,140966365.2,-49.82,-37.32,-12.22,3.86,-0.1,,,181.0,-6.27,-5.52,9068801.1,41.0,559.0,1.0,46.0,44.0,,27.0,,5.0,,34.0,5.0,10.06,,,,,,,,,,386256637.94,822.0,,115.0,1.0,1.0,
复河康安医疗器械公司,244410,2022,21221036337.4,-678784044.92,10964.0,10499988653.64,70.69,609097384.21,1.15,-567638598.64,-516.23,-2011.44,20.62,5.8,0.95,391793283.16,3.77,761.0,,-4.71,38769390.38,96.0,708.0,5.0,332.0,161.0,,47.0,1.0,27.0,1.0,40.0,20.0,6.92,,,3.0,,,,,,,14992683074.86,2362.0,,519.0,5.0,,
金制泽富证券公司,244487,2022,105190498239.0,-13291425851.02,5468.0,13070518180.29,99.13,,-12.47,-6557344948.77,46.26,-1.5,,,,,,,,-11.42,14110391.9,51.0,8.0,,,,,,,,,,,,,,,,,,,,,104296056665.63,13.0,,2.0,,,
洪航铁锦交通装备公司,244512,2022,3020963591.27,-314712574.77,1687.0,1609891117.92,29.5,20439940.84,-21.78,-301974916.59,-334.77,-417.14,-8.04,1.25,0.15,,,154.0,10.67,10.54,7921557.87,37.0,274.0,,21.0,22.0,,23.0,,5.0,,8.0,1.0,9.23,,,,,,,,,,891046511.33,176.0,,57.0,,8.0,
广达联智信息技术公司,244570,2022,106206596.0,-25014899.0,89.0,47909782.0,7.19,,17.3,-26792565.0,9.37,18.67,,,,,,,,-7.24,,2.44,,,,,,,,,,,,,,,,,,,,,,7598617.0,,,,,,
精工精智科技公司,244999,2022,4155614633.56,35854066.98,1706.0,1586340700.32,41.37,84918617.39,-10.57,35681200.8,-51.42,-44.69,-33.4,5.36,-1.82,,,449.0,-10.9,-6.13,22361298.11,41.0,602.0,1.0,74.0,76.0,,76.0,1.0,30.0,1.0,57.0,13.0,26.14,,,,,,,,,,1717012178.91,876.0,,241.0,1.0,,
平告源鸿智能电气公司,245027,2022,17657246002.96,1489496162.1,2059.0,17975325525.1,54.09,660521093.81,168.77,1646691215.0,114.34,115.51,131.55,3.6,-0.55,,,324.0,19.95,36.53,62504319.1,213.0,258.0,6.0,144.0,22.0,,51.0,2.0,35.0,2.0,59.0,40.0,15.81,,,,,,,,,,9535953108.77,1223.0,,195.0,6.0,3.0,
华谊耀锦娱乐公司,245246,2022,2905965066.31,-346872854.1,671.0,368347834.13,42.36,,-49.63,-338332794.85,-1388.87,-2550.48,,,,,,,,-28.58,20689793.61,126.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,1230761125.4,17.0,,2.0,,,
燕秦香食食品公司,245254,2022,2888597796.22,129289025.13,4266.0,1731804159.98,33.42,28814556.25,36.21,168843423.62,117.22,102.37,27.16,1.61,-0.13,,,161.0,3.7,-10.71,2624597.0,35.0,184.0,2.0,12.0,14.0,,4.0,,1.0,,3.0,,3.91,,,,,,,,,,967180158.9,170.0,,38.0,2.0,,
三医昌泽智能科技公司,245276,2022,905128971.92,17667977.88,353.0,236913983.46,23.5,28412809.76,5.08,16783634.92,-29.24,-25.65,18.1,11.92,1.37,,,129.0,25.52,13.24,1298541.52,46.0,144.0,,24.0,2.0,,4.0,,2.0,,26.0,10.0,34.38,,,,,,,,,,213534428.09,175.0,,61.0,,,
东车信创信息技术公司,245375,2022,4796052657.0,-574016736.0,1700.0,3430933639.0,60.25,1283828544.0,26.99,-567875783.0,40.54,37.4,3.39,37.4,-8.56,,,1194.0,-26.83,-26.6,40164467.0,87.0,9.0,,4.0,,,1.0,,1.0,,2.0,2.0,70.18,,,,,,,,,,2890408716.0,6.0,,5.0,,,
三松食食饮料公司,245438,2022,1586964636.79,100916215.2,2195.0,1488622075.62,33.18,15847357.79,16.87,123342358.7,10.58,15.61,76.2,1.05,0.31,,,73.0,73.89,1.27,6943324.87,58.0,104.0,,1.0,4.0,,29.0,,,,28.0,,3.3,,,,,,,,,,526058664.05,25.0,,5.0,,,
西业泽源矿产公司,245462,2022,20833122703.85,2506318485.38,15579.0,8386114075.52,42.87,294390002.82,24.23,2947852904.5,86.04,81.22,4.1,3.55,-0.63,,,1761.0,2.2,3.37,1277658.2,93.0,671.0,,32.0,155.0,,66.0,,23.0,,33.0,3.0,11.3,,,,,,,,,,8935383945.84,976.0,,225.0,,,
天三昌鸿高压开关公司,245591,2022,5025585451.8,340336729.71,3433.0,4656897603.97,33.75,156437359.43,-11.67,313764550.06,6.27,3.8,2.75,3.37,0.41,,,589.0,-5.3,-8.45,56261939.2,66.0,921.0,7.0,75.0,54.0,,101.0,,19.0,,138.0,6.0,16.84,,,,,,,,,,1696740582.28,879.0,,280.0,7.0,3.0,
午继泰鸿电器设备公司,245962,2022,10494320932.0,464446747.0,10651.0,12845808851.0,61.56,382864564.0,13.66,532628435.0,175.49,176.51,59.9,2.95,0.84,,,353.0,,-22.78,85711977.0,18.0,1358.0,5.0,150.0,227.0,,83.0,,27.0,,77.0,22.0,3.3,,,,,,,,,,6458168871.0,1987.0,,422.0,5.0,1.0,
山坎达矿矿业公司,246238,2022,319997154.0,-21728931.4,67.0,19786862.2,44.59,,5.62,-16015172.4,69.62,60.48,,,,,,,,-10.6,,1.1,,,,,,,,,,,,,,,,,,,,,,142547275.0,,,,,,
纪章印印务公司,246386,2022,495432215.5,-45804991.5,294.0,166968040.0,37.4,,-50.22,-50073404.0,-238.09,-253.24,,,,,,,,-10.36,,8.53,93.0,,22.0,60.0,,3.0,,,,3.0,,,,,,,,,,,,185389877.5,477.0,,76.0,,,
万青泽泥陶瓷公司,246809,2022,32343580717.0,539280227.0,7292.0,11055468819.0,48.78,444346726.0,-13.05,687883288.0,-52.64,-57.96,-3.91,4.04,0.37,,,,,-0.75,47603825.0,169.0,683.0,,11.0,14.0,,162.0,,13.0,,207.0,1.0,,,,,,,,,,,15753467923.0,464.0,,47.0,,,
康盛健康医疗器械公司,246813,2022,15327959309.5,938229683.37,2248.0,5086443661.1,28.3,1052806366.82,46.82,1099435918.14,54.76,56.03,39.63,20.7,-1.0,151476758.1,14.43,173.0,2.22,20.5,111112355.6,429.0,167.0,5.0,49.0,23.0,,15.0,1.0,12.0,1.0,29.0,8.0,7.99,,,1.0,,,,,,,4338416467.61,368.0,,97.0,5.0,,
灿芯澜创半导体公司,247118,2022,38803000237.0,5011534520.05,35386.0,36210917054.96,28.0,1671936237.0,8.63,5619911555.58,47.41,51.18,6.33,4.66,-0.1,,,5419.0,4.79,-10.23,143586098.42,560.0,2333.0,86.0,919.0,674.0,,107.0,,14.0,,244.0,150.0,15.33,,,,,,,,,,10866285300.4,7305.0,,2063.0,86.0,1.0,
搭唐能热电力公司,247172,2022,1064406477.0,17310995.0,73.0,713596372.0,56.22,,15.54,35292714.0,62.26,168.8,,,,,,,,15.86,2243961.0,0.87,41.0,,,,,9.0,,,,16.0,,,,,,,,,,,,598950195.0,22.0,,,,,
晶芯微微半导体公司,247291,2022,7624825976.27,355482789.6,2022.0,1823519946.8,44.5,212949446.69,2.89,372729727.76,-34.64,-27.89,61.8,11.61,4.28,,,389.0,4.69,14.28,43650654.75,131.0,351.0,1.0,33.0,21.0,,77.0,,44.0,,57.0,12.0,19.02,,,,,,,,,,3392804422.37,329.0,,176.0,1.0,,
高尹通贸连锁公司,247362,2022,5030205946.01,485405911.35,2641.0,7509616529.72,54.62,3315735.9,6.5,674250081.71,19.5,16.27,,0.09,,,,30.0,,10.29,19041498.62,143.0,105.0,,2.0,,,24.0,,12.0,,9.0,1.0,1.15,,,,,,,,,,2750271691.35,11.0,,15.0,,,
北汽远盛汽车制造公司,247395,2022,2708747284.66,78418185.65,3135.0,1767170543.15,42.21,94389881.88,8.0,73105847.79,-43.4,-32.9,43.05,5.31,1.32,,,416.0,11.24,-7.91,15313461.69,58.0,1475.0,12.0,63.0,55.0,,132.0,,82.0,,90.0,3.0,13.29,,,,,,,,,,1143783004.03,1107.0,,406.0,12.0,,
用丰数科数据服务公司,247602,2022,92233002171.0,-13689352993.0,25419.0,94182539946.0,0.0,13784188495.0,16.18,-12557941587.0,54.6,82.48,-7.82,14.63,-3.89,,,,,-9.48,1526664949.0,2143.0,140.0,7.0,23.0,5.0,,4.0,,4.0,,6.0,6.0,,,,,,,,,,,13512727.0,290.0,,73.0,7.0,3.0,4.0
机总院盛盛研究院公司,247608,2022,2359207802.91,145973185.08,611.0,833832380.65,12.0,46073113.48,37.56,171730257.86,49.8,49.6,32.04,5.5,-0.25,,,162.0,84.63,15.58,10525996.89,64.0,112.0,,29.0,30.0,,18.0,,18.0,,5.0,5.0,27.21,,,,,,,,,,283059240.81,59.0,,99.0,,,
森博丰丰纸品制造公司,247752,2022,6566912083.25,205199427.0,1622.0,5962078547.75,66.43,64844024.19,61.56,226574228.4,-50.22,-47.49,20.48,1.01,-0.39,,,189.0,504.25,28.11,34740685.88,61.0,45.0,,4.0,5.0,,5.0,,5.0,,5.0,1.0,11.59,,,,,,,,,,4363566604.46,39.0,,23.0,,,
氪锐昌务管理公司,247902,2022,263644354412.0,-2370448757.0,590.0,31921714321.0,83.54,,19.11,-2058024663.0,-29.87,-100.96,,,,,,,,,725017.0,134.0,,,,,,,,,,,,,,,,,,,,,,220371638646.0,,,,,,
伊丽鲜味饮料公司,247953,2022,18394397168.0,356938945.0,9981.0,12900603977.0,55.03,,-2.43,477109795.0,35217.32,170.72,,,,,,,,11.35,210896141.0,79.0,17.0,,1.0,2.0,,5.0,,2.0,,2.0,1.0,,,,,,,,,,,10131651742.0,23.0,,7.0,,1.0,
浪集云智数据服务公司,248155,2022,2496471752.05,23573723.98,1109.0,3606872581.85,49.66,100521289.79,-14.71,22166299.81,-67.57,-57.04,-11.77,2.75,0.1,,,246.0,-21.67,-20.74,3600770.76,52.0,527.0,2.0,16.0,49.0,,34.0,,10.0,,45.0,1.0,21.91,,,,,,,,,,1239099210.71,692.0,,134.0,2.0,,
众集源锦材料公司,248356,2022,17524472932.87,293973900.16,6264.0,12064403873.06,64.49,459262503.48,6.82,366894519.9,-33.92,-40.65,14.06,3.85,0.21,,,1074.0,-7.57,-0.3,65231438.09,75.0,2495.0,11.0,376.0,193.0,,333.0,,153.0,,310.0,78.0,17.1,,,,,,,,,,11289536485.35,5620.0,,964.0,11.0,,
长桥耀锦电器公司,248537,2022,4045752807.93,74795619.79,4780.0,2943145526.54,45.2,220166126.89,-29.3,119339993.4,131.51,3807.7,-28.09,7.49,0.15,,,781.0,-29.06,-34.99,39801443.3,90.0,1365.0,27.0,39.0,35.0,,351.0,,128.0,,260.0,4.0,16.37,,,,,,,,,,1832089624.18,895.0,,323.0,27.0,,
浪集软云数据服务公司,248540,2022,904270068.6,61818211.28,155.0,336198468.39,25.24,44933155.48,2.01,58550599.01,-22.25,-7.25,45.2,13.36,3.97,,,75.0,53.04,31.99,7662472.6,44.0,44.0,,14.0,1.0,,9.0,,8.0,,3.0,3.0,47.75,,,,,,,,,,228002554.11,127.0,,27.0,,,
金珐胶胶塑料公司,248562,2022,8608273640.08,216575702.09,2909.0,6758480596.82,63.85,357708446.82,38.75,209979067.12,512.2,930.1,43.95,5.2,0.12,,,510.0,102.5,121.05,24029920.65,142.0,1418.0,3.0,310.0,723.0,,84.0,,77.0,,47.0,32.0,17.79,,,,,,,,,,5500139472.71,7934.0,,1355.0,3.0,,
花立昌表仪表公司,248602,2022,1821679323.0,-35884378.0,466.0,138346462.0,4.49,8396421.0,8.09,-35273359.0,-30.57,-38.54,29.57,6.09,1.04,,,,,-4.5,2801188.0,2.1,,,,,,,,,,,,,,,,,,,,,,81679923.0,,,,,,
健名泰元生物医药公司,248761,2022,1913775858.48,45120158.37,1089.0,531296161.16,26.2,39320172.4,-16.02,59452459.71,-40.01,-53.2,6.21,7.4,1.54,,,98.0,3.13,-1.6,19629597.27,33.0,167.0,,35.0,3.0,,5.0,,5.0,,8.0,5.0,9.08,,,,,,,,,,502255908.43,160.0,,48.0,,,
恒逸昌荣科技股份公司,248857,2022,1640812380.22,101413781.51,1442.0,1248169867.78,28.6,70237078.37,7.37,110157955.19,-28.58,-26.4,-7.28,5.68,-0.85,,,171.0,,10.0,8245481.55,28.0,104.0,5.0,36.0,26.0,,3.0,,,,7.0,4.0,12.36,,,,,,,,,,469546419.59,363.0,,64.0,5.0,1.0,
瑞行辰瑞制药公司,248952,2022,4930066237.08,198384886.85,842.0,1440097342.76,18.41,22803794.13,-4.79,229883909.88,104.0,114.75,-29.36,1.53,-0.55,130963.84,-98.43,85.0,,-16.83,3291031.39,52.0,61.0,,14.0,14.0,,,,,,,,10.03,,,,,,,,,,911216481.38,209.0,,24.0,,,
